X,Y,Name,description,gx_media_links
-118.2454665,34.0438186,San Jullian between 5th and 6th,"<a href=""https://www.youtube.com/watch?v=Ey3HsZxZZF0""><img src=""https://img.youtube.com/vi/Ey3HsZxZZF0/hqdefault.jpg"" height=""200"" width=""auto"" /></a><br><br><a href=""https://www.youtube.com/embed/Ey3HsZxZZF0"">https://www.youtube.com/embed/Ey3HsZxZZF0</a><br><br>3/16/2020 -  water on one side, soap, no towels",https://www.youtube.com/embed/Ey3HsZxZZF0
-118.3288888,34.0952795,Cahuenga Boulevard & Ivar Avenue,"3/26/2020: ""station refilled yesterday; no trans cans/dumpster; porter potty on Ivar; hand wash on Cahuenga; porter potty one there for one week; hand wash for two weeks""",
-118.3282139,34.099791,Ivar Avenue & Selma Avenue,"3/26/2020: LASHA map pin is wrong; site not on Cosmo St; 2 porta potties; 1 regular 1 ADA; everything stocked; pre-existing station before pandemic; Five Keys & PIT Stop",
-118.3223726,34.1037717,North Gower Street & Yucca Street,"3/26/2020: ""Not operational. station not on LAHSA map; 1 station; 2 porta potties, 1 ADA""",
-118.2739389,34.0682488,North Park View Street & Beverly Boulevard,3/26/2020: https://twitter.com/shoton35mm/status/1243414988326195202?s=21,
-118.246203,34.0472543,East 4th Street & South Los Angeles Street,3/31/2020: The station was heavily damaged and unusable.,
-118.2942015,34.0636171,6th and S. Berendo St. ,"<img src=""https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/nufmov46kg4u0al1sjl7hfv09k/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vYHjbv_bL7YtMUTVw8o6O9EcsJ5_U6g5dzB9J63rwhS08OoTu1f_6P5jPNu9NNd3AnHaSL4Yknwa82sZTyhIeC2zcaeGsrUICG24FXV4GtGViv9tHfdqE7A8ZqD1UpNt-rP0V6VKaJ5RUE-ojYW7GpTYN81ftRboTbdj3q4hmQ18AAPnOUrzaFSQJd2iQISYYI?session=0&fife"" height=""200"" width=""auto"" /><br><br>[not on LAHSA map]<br>4/4/2020: No Water (but some soap and towels). - https://twitter.com/mellemusic/status/1246554830744588290",https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/nufmov46kg4u0al1sjl7hfv09k/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vYHjbv_bL7YtMUTVw8o6O9EcsJ5_U6g5dzB9J63rwhS08OoTu1f_6P5jPNu9NNd3AnHaSL4Yknwa82sZTyhIeC2zcaeGsrUICG24FXV4GtGViv9tHfdqE7A8ZqD1UpNt-rP0V6VKaJ5RUE-ojYW7GpTYN81ftRboTbdj3q4hmQ18AAPnOUrzaFSQJd2iQISYYI?session=0&fife
